,geometry,u,v,key,osmid,highway,name,lanes,oneway,length,capacity,ref
91,"LINESTRING (-71.410805 41.817505, -71.41110999999999 41.81794)",201209546.0,201639554.0,0.0,19390131.0,unclassified,Hospital Street,,False,54.576,27.0,
92,"LINESTRING (-71.411812 41.817234, -71.4115465 41.8175)",201215980.0,201724711.0,0.0,352339439.0,unclassified,Bassett Street,,False,36.864,4.0,
93,"LINESTRING (-71.4114032 41.816687, -71.4105 41.817055)",201215984.0,201423880.0,0.0,19373122.0,unclassified,Elm Street,,False,85.305,20.0,
94,"LINESTRING (-71.40448000000001 41.817669, -71.40500059999999 41.8174892)",201302501.0,4492742801.0,0.0,452481929.0,primary,Point Street,2,True,47.55,16.0,US 1A
95,"LINESTRING (-71.4063421 41.816872, -71.4054704 41.817201)",201302519.0,3870442667.0,0.0,49074850.0,primary,Point Street,2,True,80.974,12.0,US 1A
96,"LINESTRING (-71.409497 41.8156714, -71.4095396 41.8157306)",201302692.0,4405117522.0,0.0,19390131.0,unclassified,Hospital Street,,False,7.47,27.0,
97,"LINESTRING (-71.40646529999999 41.8168807, -71.4063421 41.816872)",201302714.0,201302519.0,0.0,49074850.0,primary,Point Street,2,True,10.255,12.0,US 1A
98,"LINESTRING (-71.405647 41.817207, -71.4063862 41.8169388)",201302717.0,6188676783.0,0.0,452481929.0,primary,Point Street,2,True,68.132,16.0,US 1A
99,"LINESTRING (-71.4070468 41.8176909, -71.407844 41.817371)",201314988.0,201314996.0,0.0,19364599.0,unclassified,South Street,,False,75.032,23.0,
100,"LINESTRING (-71.407844 41.817371, -71.408579 41.817084)",201314996.0,201315000.0,0.0,19364599.0,unclassified,South Street,,False,68.764,23.0,
101,"LINESTRING (-71.407844 41.817371, -71.4070468 41.8176909)",201314996.0,201314988.0,0.0,19364599.0,unclassified,South Street,,False,75.032,23.0,
102,"LINESTRING (-71.408579 41.817084, -71.409329 41.816767)",201315000.0,201315004.0,0.0,19364599.0,unclassified,South Street,,False,71.453,23.0,
103,"LINESTRING (-71.408579 41.817084, -71.407844 41.817371)",201315000.0,201314996.0,0.0,19364599.0,unclassified,South Street,,False,68.764,23.0,
104,"LINESTRING (-71.409329 41.816767, -71.410065 41.81646)",201315004.0,201315006.0,0.0,19364599.0,unclassified,South Street,,False,69.897,23.0,
105,"LINESTRING (-71.409329 41.816767, -71.408579 41.817084)",201315004.0,201315000.0,0.0,19364599.0,unclassified,South Street,,False,71.453,23.0,
106,"LINESTRING (-71.410065 41.81646, -71.409329 41.816767)",201315006.0,201315004.0,0.0,19364599.0,unclassified,South Street,,False,69.897,23.0,
107,"LINESTRING (-71.410065 41.81646, -71.4097617 41.8160389)",201315006.0,7150287914.0,0.0,19390131.0,unclassified,Hospital Street,,False,53.144,27.0,
108,"LINESTRING (-71.410065 41.81646, -71.4105 41.817055)",201315006.0,201423880.0,0.0,19390131.0,unclassified,Hospital Street,,False,75.345,27.0,
109,"LINESTRING (-71.4115671 41.8198081, -71.411136 41.8202513)",201320354.0,201521567.0,0.0,660831873.0,tertiary,Friendship Street,2,True,60.868,47.0,
110,"LINESTRING (-71.4087991 41.8216163, -71.4094161 41.8209612)",201360666.0,201360676.0,0.0,423738878.0,tertiary,Clifford Street,,True,88.996,32.0,
111,"LINESTRING (-71.4094161 41.8209612, -71.4104581 41.819886)",201360676.0,4569158432.0,0.0,423738878.0,tertiary,Clifford Street,,True,147.478,32.0,
112,"LINESTRING (-71.4123469 41.8179027, -71.4137265 41.8165042)",201360701.0,4233047293.0,0.0,761494797.0,tertiary,Clifford Street,1,True,193.011,23.0,
113,"LINESTRING (-71.409729 41.817355, -71.41031599999999 41.817135)",201360847.0,201423876.0,0.0,19373122.0,unclassified,Elm Street,,False,54.45,20.0,
114,"LINESTRING (-71.409729 41.817355, -71.408973 41.817662)",201360847.0,201423873.0,0.0,19373122.0,unclassified,Elm Street,,False,71.347,20.0,
115,"LINESTRING (-71.4100873 41.8224434, -71.4101503 41.8223771)",201411328.0,5152270272.0,0.0,48486397.0,unclassified,Pine Street,,True,9.033,23.0,
116,"LINESTRING (-71.4074809 41.8182697, -71.40758889999999 41.8182235)",201423868.0,6985991940.0,0.0,19373122.0,unclassified,Elm Street,,False,10.32,20.0,
